trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04
-0.000738215,-0.0017913,-0.0145468,0.000198509,4.05289e-05,6.00469e-05,-0.006008305,0.00390188,-0.0288217,0.0002483108,0.0002521779,0.0003251019,5.4496139e-07,3.2087557e-06,0.00021160939,3.9405823e-08,1.6425917e-09,3.6056302e-09,3.6099729e-05,1.5224668e-05,0.00083069039,6.1658253e-08,6.3593693e-08,1.0569125e-07,-0.055805302,-0.038899618,-0.016536195,0.0062600252,0.041331263
-0.000824893,-0.0121161,-0.0807849,0.00203202,-0.000140423,-0.000338868,-8.6678e-05,-0.0103248,-0.0662381,0.001833511,-0.0001809519,-0.0003989149,6.8044846e-07,0.00014679988,0.0065262001,4.1291053e-06,1.9718619e-08,1.1483152e-07,7.5130757e-09,0.0001066015,0.0043874859,3.3617626e-06,3.274359e-08,1.591331e-07,0.015688729,-0.0010340872,-0.086957179,-0.052503518,0.089554864
0.000542678,-0.0749131,-0.161109,0.00248896,-1.40522e-05,5.96016e-05,0.001367571,-0.062797,-0.0803241,0.00045694,0.0001263708,0.0003984696,2.9449941e-07,0.0056119726,0.02595611,6.1949219e-06,1.9746432e-10,3.5523507e-09,1.8702504e-06,0.0039434632,0.006451961,2.0879416e-07,1.5969579e-08,1.5877802e-07,-0.06902672,-0.0028877711,-0.14233494,0.0094429967,0.042752057
-0.00777385,0.00578551,-0.0991948,0.0016153,5.38812e-05,-0.000419509,-0.008316528,0.08069861,0.0619142,-0.00087366,6.79334e-05,-0.0004791106,6.0432744e-05,3.3472126e-05,0.0098396083,2.6091941e-06,2.9031837e-09,1.759878e-07,6.9164638e-05,0.0065122657,0.0038333682,7.632818e-07,4.6149468e-09,2.2954697e-07,0.029751045,0.049284912,-0.047695756,-0.14281986,-0.080346921
-0.00771691,0.048922,-0.058696,0.000313448,0.00022618,-0.000238809,5.694e-05,0.04313649,0.0404988,-0.001301852,0.0001722988,0.0001807,5.95507e-05,0.0023933621,0.0034452204,9.8249649e-08,5.1157392e-08,5.7029738e-08,3.2421636e-09,0.0018607568,0.0016401528,1.6948186e-06,2.9686876e-08,3.265249e-08,-0.0075589913,0.0095377202,-0.051018253,-0.13032097,0.023181351
0.0136332,-0.0364443,0.00143418,0.0003177,0.000456726,-0.000203672,0.02135011,-0.0853663,0.06013018,4.252e-06,0.000230546,3.5137e-05,0.00018586414,0.001328187,2.0568723e-06,1.0093329e-07,2.0859864e-07,4.1482284e-08,0.0004558272,0.0072874052,0.0036156385,1.8079504e-11,5.3151458e-08,1.2346088e-09,0.067100369,-0.0044979398,-0.057054526,-0.10511753,-0.021420773
0.00883055,0.0481709,0.0323551,-0.0033526,0.000795346,0.000729026,-0.00480265,0.0846152,0.03092092,-0.0036703,0.00033862,0.000932698,7.7978613e-05,0.0023204356,0.0010468525,1.1239927e-05,6.3257526e-07,5.3147891e-07,2.3065447e-05,0.0071597321,0.00095610329,1.3471102e-05,1.146635e-07,8.6992556e-07,-0.15538329,0.040809765,0.037094386,-0.13851315,0.017695796
-0.0101535,0.145154,0.0161029,-0.00170437,0.000267155,-2.34484e-05,-0.01898405,0.0969831,-0.0162522,0.00164823,-0.000528191,-0.0007524744,0.00010309356,0.021069684,0.00025930339,2.9048771e-06,7.1371794e-08,5.4982746e-10,0.00036039415,0.0094057217,0.000264134,2.7166621e-06,2.7898573e-07,5.6621772e-07,-0.084667433,-0.052773096,0.1329911,-0.026289591,-0.027792909
-0.00534963,0.0203318,0.0489819,-0.00150776,0.000392289,7.34967e-05,0.00480387,-0.1248222,0.032879,0.00019661,0.000125134,9.69451e-05,2.8618541e-05,0.00041338209,0.0023992265,2.2733402e-06,1.5389066e-07,5.4017649e-09,2.3077167e-05,0.015580582,0.0010810286,3.8655492e-08,1.5658518e-08,9.3983524e-09,0.044424036,-0.017971395,0.068544448,-0.034970441,-0.042484902
0.0261353,0.0548265,-0.134861,-0.00158372,0.000700562,0.000542021,0.03148493,0.0344947,-0.1838429,-7.596e-05,0.000308273,0.0004685243,0.00068305391,0.0030059451,0.018187489,2.508169e-06,4.9078712e-07,2.9378676e-07,0.00099130082,0.0011898843,0.033798212,5.7699216e-09,9.5032243e-08,2.1951502e-07,-0.22074819,0.067334052,0.045795499,0.071427115,0.15721541
-0.0159293,-0.172291,-0.0597828,-0.00218085,0.000456726,-0.000180907,-0.0420646,-0.2271175,0.0750782,-0.00059713,-0.000243836,-0.000722928,0.0002537426,0.029684189,0.0035739832,4.7561067e-06,2.0859864e-07,3.2727343e-08,0.0017694306,0.051582359,0.0056367361,3.5656424e-07,5.9455995e-08,5.2262489e-07,0.046717603,-0.031529372,-0.063100735,0.050260076,-0.16485464
-0.0748094,-0.169628,-0.648732,-0.0106454,0.000348067,-0.00141659,-0.0588801,0.002663,-0.5889492,-0.00846455,-0.000108659,-0.001235683,0.0055964463,0.028773658,0.42085321,0.00011332454,1.2115064e-07,2.0067272e-06,0.0034668662,7.091569e-06,0.34686116,7.1648607e-05,1.1806778e-08,1.5269125e-06,-0.3490074,0.2784146,-0.18447482,0.43919599,-0.41538578
